item,condition,disambPositionAmb,sentence
1,NPS_AMB,6,The suspect showed the file deserved further investigation during the murder trial.
1,NPZ_AMB,7,Because the suspect changed the file deserved further investigation during the jury discussions.
1,MVRR_AMB,6,The suspect sent the file deserved further investigation given the new evidence.
2,NPS_AMB,7,The corrupt politician mentioned the bill received unwelcome attention from southern voters.
2,NPZ_AMB,8,After the corrupt politician signed the bill received unwelcome attention from southern voters.
2,MVRR_AMB,7,The corrupt politician handed the bill received unwelcome attention from southern voters.
3,NPS_AMB,6,The woman maintained the mail disappeared mysteriously from her front porch.
3,NPZ_AMB,7,After the woman moved the mail disappeared mysteriously from the delivery system.
3,MVRR_AMB,6,The woman brought the mail disappeared mysteriously after reading the bad news in it.
4,NPS_AMB,6,The boy found the chicken stayed surprisingly happy in the new barn.
4,NPZ_AMB,7,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.
4,MVRR_AMB,6,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.
5,NPS_AMB,7,The new doctor demonstrated the operation appeared increasingly likely to succeed.
5,NPZ_AMB,8,After the new doctor left the operation appeared increasingly likely to succeed.
5,MVRR_AMB,7,The new doctor offered the operation appeared increasingly likely to succeed in her career.
6,NPS_AMB,6,The professor noticed the grant gained more attention from marine biologists.
6,NPZ_AMB,7,After the professor read the grant gained more attention due to her excellent description.
6,MVRR_AMB,6,The professor awarded the grant gained more attention from marine biologists.
7,NPS_AMB,6,The technician reported the service stopped working almost immediately after the storm started.
7,NPZ_AMB,7,After the technician called the service stopped working almost immediately to his surprise.
7,MVRR_AMB,6,The technician refused the service stopped working almost immediately after the argument.
8,NPS_AMB,6,The mechanic observed the truck needed several more hours to be repaired.
8,NPZ_AMB,7,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.
8,MVRR_AMB,6,The mechanic brought the truck needed several more hours to fully repair it.
9,NPS_AMB,6,The guitarist knew the song failed dramatically because of the tensions within the band.
9,NPZ_AMB,7,After the guitarist began the song failed dramatically because he skipped the sound check.
9,MVRR_AMB,6,The guitarist assigned the song failed dramatically because he never practiced enough.
10,NPS_AMB,6,The player revealed the bonus remained essentially the same as in the original contract.
10,NPZ_AMB,7,Although the player lost the bonus remained essentially the same as in the original contract.
10,MVRR_AMB,6,The player paid the bonus remained essentially the same despite his sudden fame and wealth.
11,NPS_AMB,7,The recent hire claimed the job prepared many students for careers in media.
11,NPZ_AMB,8,Once the recent hire started the job prepared many students for careers in media.
11,MVRR_AMB,7,The recent hire offered the job prepared many students for careers in media.
12,NPS_AMB,7,The assistant manager discovered the training seemed unnecessarily demanding for new staff.
12,NPZ_AMB,8,While the assistant manager worked the training seemed unnecessarily demanding to him.
12,MVRR_AMB,7,The assistant manager assigned the training seemed unnecessarily demanding to new staff.
13,NPS_AMB,6,The mayor showed the document provided sufficient evidence to prove her innocence.
13,NPZ_AMB,7,Although the mayor changed the document provided sufficient evidence for what he had promised.
13,MVRR_AMB,6,The mayor sent the document provided sufficient evidence that it was simply blackmail.
14,NPS_AMB,7,The basketball player mentioned the contract created another controversy in the NBA.
14,NPZ_AMB,8,After the basketball player signed the contract created another controversy in the NBA.
14,MVRR_AMB,7,The basketball player handed the contract created another controversy in the NBA.
15,NPS_AMB,6,The engineer maintained the equipment required constant supervision from senior technicians.
15,NPZ_AMB,7,After the engineer moved the equipment required constant supervision from senior technicians.
15,MVRR_AMB,6,The engineer brought the equipment required constant supervision from senior technicians.
16,NPS_AMB,7,The little girl found the lamb remained relatively calm despite the absence of its mother.
16,NPZ_AMB,8,When the little girl attacked the lamb remained relatively calm despite the sudden assault.
16,MVRR_AMB,7,The little girl fed the lamb remained relatively calm despite having asked for beef.
17,NPS_AMB,7,The yoga instructor demonstrated the position demanded immense physical effort from everyone.
17,NPZ_AMB,8,Before the yoga instructor left the position demanded immense physical effort from everyone.
17,MVRR_AMB,7,The yoga instructor offered the position demanded immense physical effort from everyone.
18,NPS_AMB,6,The governor noticed the contract received sweeping support across the entire state.
18,NPZ_AMB,7,While the governor read the contract received sweeping support from the audience at the rally.
18,MVRR_AMB,6,The governor awarded the contract received sweeping support across the entire state.
19,NPS_AMB,6,The patient reported the treatment continued causing uncomfortable side effects like nausea.
19,NPZ_AMB,7,Before the patient called the treatment continued causing uncomfortable side effects like nausea.
19,MVRR_AMB,6,The patient refused the treatment continued causing uncomfortable scenes in the ER.
20,NPS_AMB,6,The operator observed the machine started working efficiently all of a sudden.
20,NPZ_AMB,7,Once the operator stopped the machine started working efficiently without any supervision.
20,MVRR_AMB,6,The operator brought the machine started working efficiently with the added automation.
21,NPS_AMB,6,The dancer knew the ballet achieved incredible success for a small local production.
21,NPZ_AMB,7,Once the dancer began the ballet achieved incredible success for a show with a new performer.
21,MVRR_AMB,6,The dancer assigned the ballet achieved incredible success for a new performer.
22,NPS_AMB,6,The contestant revealed the money became unavailable to him when the show\'s budget shrank.
22,NPZ_AMB,7,After the contestant lost the money became unavailable despite his previous three wins in a row.
22,MVRR_AMB,6,The contestant paid the money became unavailable and suddenly terminated his contract.
23,NPS_AMB,7,The new chef claimed the restaurant separated mediocre cooks from gifted ones.
23,NPZ_AMB,8,Once the new chef started the restaurant separated mediocre cooks from gifted ones.
23,MVRR_AMB,7,The new chef offered the restaurant separated mediocre cooks from gifted ones.
24,NPS_AMB,7,The apprentice baker discovered the oven produced smaller cakes because it heated too fast.
24,NPZ_AMB,8,When the apprentice baker worked the oven produced smaller cakes because he lacked experience.
24,MVRR_AMB,7,The apprentice baker assigned the oven produced smaller cakes because he lacked experience.
