item,condition,critical_pos,critical_word,sentence
1,NPS_UAMB,7,deserved,The suspect showed that the file deserved further investigation during the murder trial .
1,NPZ_UAMB,8,deserved,"Because the suspect changed , the file deserved further investigation during the jury discussions ."
1,MVRR_UAMB,8,deserved,The suspect who was sent the file deserved further investigation given the new evidence .
2,NPS_UAMB,8,received,The corrupt politician mentioned that the bill received unwelcome attention from southern voters .
2,NPZ_UAMB,9,received,"After the corrupt politician signed , the bill received unwelcome attention from southern voters ."
2,MVRR_UAMB,9,received,The corrupt politician who was handed the bill received unwelcome attention from southern voters .
3,NPS_UAMB,7,disappeared,The woman maintained that the mail disappeared mysteriously from her front porch .
3,NPZ_UAMB,8,disappeared,"After the woman moved , the mail disappeared mysteriously from the delivery system ."
3,MVRR_UAMB,8,disappeared,The woman who was brought the mail disappeared mysteriously after reading the bad news in it .
4,NPS_UAMB,7,stayed,The boy found that the chicken stayed surprisingly happy in the new barn .
4,NPZ_UAMB,8,stayed,"Although the boy attacked , the chicken stayed surprisingly happy as if nothing happened ."
4,MVRR_UAMB,8,stayed,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction .
5,NPS_UAMB,8,appeared,The new doctor demonstrated that the operation appeared increasingly likely to succeed .
5,NPZ_UAMB,9,appeared,"After the new doctor left , the operation appeared increasingly likely to succeed ."
5,MVRR_UAMB,9,appeared,The new doctor who was offered the operation appeared increasingly likely to succeed in her career .
6,NPS_UAMB,7,gained,The professor noticed that the grant gained more attention from marine biologists .
6,NPZ_UAMB,8,gained,"After the professor read , the grant gained more attention due to her excellent description ."
6,MVRR_UAMB,8,gained,The professor who was awarded the grant gained more attention from marine biologists .
7,NPS_UAMB,7,stopped,The technician reported that the service stopped working almost immediately after the storm started .
7,NPZ_UAMB,8,stopped,"After the technician called , the service stopped working almost immediately to his surprise ."
7,MVRR_UAMB,8,stopped,The technician who was refused the service stopped working almost immediately after the argument .
8,NPS_UAMB,7,needed,The mechanic observed that the truck needed several more hours to be repaired .
8,NPZ_UAMB,8,needed,"Because the mechanic stopped , the truck needed several more hours before it could be fully repaired ."
8,MVRR_UAMB,8,needed,The mechanic who was brought the truck needed several more hours to fully repair it .
9,NPS_UAMB,7,failed,The guitarist knew that the song failed dramatically because of the tensions within the band .
9,NPZ_UAMB,8,failed,"After the guitarist began , the song failed dramatically because he skipped the sound check ."
9,MVRR_UAMB,8,failed,The guitarist who was assigned the song failed dramatically because he never practiced enough .
10,NPS_UAMB,7,remained,The player revealed that the bonus remained essentially the same as in the original contract .
10,NPZ_UAMB,8,remained,"Although the player lost , the bonus remained essentially the same as in the original contract ."
10,MVRR_UAMB,8,remained,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth .
11,NPS_UAMB,8,prepared,The recent hire claimed that the job prepared many students for careers in media .
11,NPZ_UAMB,9,prepared,"Once the recent hire started , the job prepared many students for careers in media ."
11,MVRR_UAMB,9,prepared,The recent hire who was offered the job prepared many students for careers in media .
12,NPS_UAMB,8,seemed,The assistant manager discovered that the training seemed unnecessarily demanding for new staff .
12,NPZ_UAMB,9,seemed,"While the assistant manager worked , the training seemed unnecessarily demanding to him ."
12,MVRR_UAMB,9,seemed,The assistant manager who was assigned the training seemed unnecessarily demanding to new staff .
13,NPS_UAMB,7,provided,The mayor showed that the document provided sufficient evidence to prove her innocence .
13,NPZ_UAMB,8,provided,"Although the mayor changed , the document provided sufficient evidence for what he had promised ."
13,MVRR_UAMB,8,provided,The mayor who was sent the document provided sufficient evidence that it was simply blackmail .
14,NPS_UAMB,8,created,The basketball player mentioned that the contract created another controversy in the NBA .
14,NPZ_UAMB,9,created,"After the basketball player signed , the contract created another political controversy in the NBA ."
14,MVRR_UAMB,9,created,The basketball player who was handed the contract created another controversy in the NBA .
15,NPS_UAMB,7,required,The engineer maintained that the equipment required constant supervision from senior technicians .
15,NPZ_UAMB,8,required,"After the engineer moved , the equipment required constant supervision from senior technicians ."
15,MVRR_UAMB,8,required,The engineer who was brought the equipment required constant supervision from senior technicians .
16,NPS_UAMB,8,remained,The little girl found that the lamb remained relatively calm despite the absence of its mother .
16,NPZ_UAMB,9,remained,"When the little girl attacked , the lamb remained relatively calm despite the sudden assault ."
16,MVRR_UAMB,9,remained,The little girl who was fed the lamb remained relatively calm despite having asked for beef .
17,NPS_UAMB,8,demanded,The yoga instructor demonstrated that the position demanded immense physical effort from everyone .
17,NPZ_UAMB,9,demanded,"Before the yoga instructor left , the position demanded immense physical effort from everyone ."
17,MVRR_UAMB,9,demanded,The yoga instructor who was offered the position demanded immense physical effort from everyone .
18,NPS_UAMB,7,received,The governor noticed that the contract received sweeping support across the entire state .
18,NPZ_UAMB,8,received,"While the governor read , the contract received sweeping support from the audience at the rally ."
18,MVRR_UAMB,8,received,The governor who was awarded the contract received sweeping support across the entire state .
19,NPS_UAMB,7,continued,The patient reported that the treatment continued causing uncomfortable side effects like nausea .
19,NPZ_UAMB,8,continued,"Before the patient called , the treatment continued causing uncomfortable side effects like nausea ."
19,MVRR_UAMB,8,continued,The patient who was refused the treatment continued causing uncomfortable scenes in the ER .
20,NPS_UAMB,7,started,The operator observed that the machine started working efficiently all of a sudden .
20,NPZ_UAMB,8,started,"Once the operator stopped , the machine started working efficiently without any supervision ."
20,MVRR_UAMB,8,started,The operator who was brought the machine started working efficiently with the added automation .
