item,condition,disambPositionUnamb,sentence
1,NPS_UAMB,7,The suspect showed that the file deserved further investigation during the murder trial.
1,NPZ_UAMB,7,"Because the suspect changed, the file deserved further investigation during the jury discussions."
1,MVRR_UAMB,8,The suspect who was sent the file deserved further investigation given the new evidence.
2,NPS_UAMB,8,The corrupt politician mentioned that the bill received unwelcome attention from southern voters.
2,NPZ_UAMB,8,"After the corrupt politician signed, the bill received unwelcome attention from southern voters."
2,MVRR_UAMB,9,The corrupt politician who was handed the bill received unwelcome attention from southern voters.
3,NPS_UAMB,7,The woman maintained that the mail disappeared mysteriously from her front porch.
3,NPZ_UAMB,7,"After the woman moved, the mail disappeared mysteriously from the delivery system."
3,MVRR_UAMB,8,The woman who was brought the mail disappeared mysteriously after reading the bad news in it.
4,NPS_UAMB,7,The boy found that the chicken stayed surprisingly happy in the new barn.
4,NPZ_UAMB,7,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened."
4,MVRR_UAMB,8,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.
5,NPS_UAMB,8,The new doctor demonstrated that the operation appeared increasingly likely to succeed.
5,NPZ_UAMB,8,"After the new doctor left, the operation appeared increasingly likely to succeed."
5,MVRR_UAMB,9,The new doctor who was offered the operation appeared increasingly likely to succeed in her career.
6,NPS_UAMB,7,The professor noticed that the grant gained more attention from marine biologists.
6,NPZ_UAMB,7,"After the professor read, the grant gained more attention due to her excellent description."
6,MVRR_UAMB,8,The professor who was awarded the grant gained more attention from marine biologists.
7,NPS_UAMB,7,The technician reported that the service stopped working almost immediately after the storm started.
7,NPZ_UAMB,7,"After the technician called, the service stopped working almost immediately to his surprise."
7,MVRR_UAMB,8,The technician who was refused the service stopped working almost immediately after the argument.
8,NPS_UAMB,7,The mechanic observed that the truck needed several more hours to be repaired.
8,NPZ_UAMB,7,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired."
8,MVRR_UAMB,8,The mechanic who was brought the truck needed several more hours to fully repair it.
9,NPS_UAMB,7,The guitarist knew that the song failed dramatically because of the tensions within the band.
